id;no_pengajuan;nama_pemohon;alamat;phone;email;no_surat;jenis_surat;created_by;tgl_pengajuan;tgl_proses;tgl_selesai;status;updated_by;tgl_update
20;20;Jamilus;Jl. Merdeka No. 66 RT 08 RW 12;81289940268;jamilus@mail.com;600.1/188/DPMPTSP/2025;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;02/02/2025;04/02/2025;08/02/2025;Ditolak;;
21;21;Sabirin 2;Jl. Merdeka No. 137 RT 09 RW 03;81240932348;sabirin2@mail.com;640/218/DPMPTSP/2025;Permohonan Izin Operasional Klinik;admin;05/05/2025;06/05/2025;;Diproses;;
22;22;Annisa Tiara Sarti an Yusni;Jl. Merdeka No. 94 RT 11 RW 02;81264836165;annisatiarasart@mail.com;600.1/205/DPMPTSP/2025;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;06/01/2025;08/01/2025;12/01/2025;Selesai;;
23;23;R. Dt. Rajo Melayu;Jl. Merdeka No. 82 RT 03 RW 11;81288044998;rdtrajomelayu@mail.com;600.1/212/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;30/03/2025;31/03/2025;;Diproses;;
24;24;Nur Eyoni;Jl. Merdeka No. 85 RT 04 RW 04;81298715736;nureyoni@mail.com;600.1/211/DPMPTSP/2025;Permohonan Izin Operasional Klinik;admin;06/07/2025;08/07/2025;;Diproses;;
25;25;Syafrita;Jl. Merdeka No. 122 RT 09 RW 03;81240422357;syafrita@mail.com;600.1/218/DPMPTSP/2025;Permohonan Izin Mendirikan Bangunan (IMB);admin;24/08/2025;26/08/2025;;Diproses;;
26;26;Rio Andika Saputra;Jl. Merdeka No. 88 RT 06 RW 10;81257460761;rioandikasaputr@mail.com;600.1/219/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;05/10/2025;06/10/2025;;Diproses;;
27;27;Irvandry Fernandes;Jl. Merdeka No. 124 RT 01 RW 06;81210440543;irvandryfernand@mail.com;600.1/222/DPMPTSP/2025;Pengajuan Surat Izin;admin;27/09/2025;28/09/2025;;Diproses;;
28;28;Ayu Septian Ashari;Jl. Merdeka No. 63 RT 03 RW 03;81267086234;ayuseiashari@mail.com;600.1/221/DPMPTSP/2025;Permohonan Izin Operasional Klinik;admin;30/09/2025;01/10/2025;;Diproses;;
29;29;Syafril Syaraf;Jl. Merdeka No. 55 RT 03 RW 02;81229507663;syafrilsyaraf@mail.com;600.1/220/DPMPTSP/2025;Permohonan Izin Mendirikan Bangunan (IMB);admin;27/08/2025;29/08/2025;01/09/2025;Ditolak;;
30;30;Fajri Rahmawati an Jasmani;Jl. Merdeka No. 124 RT 11 RW 02;81211790644;fajrirahmawatij@mail.com;600.1/224/DPMPTSP/2025;Permohonan Izin Operasional Klinik;admin;01/01/2025;02/01/2025;05/01/2025;Selesai;;
31;31;Firman Arif;Jl. Merdeka No. 28 RT 09 RW 03;81258495669;firmarif@mail.com;600.1/226/DPMPTSP/2025;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;31/03/2025;03/04/2025;10/04/2025;Ditolak;;
32;32;Ajis Putra Nedi an Een;Jl. Merdeka No. 103 RT 09 RW 09;81232303828;ajisputranediee@mail.com;600.1/241/DPMPTSP/2025;Permohonan Izin Operasional Klinik;admin;25/06/2025;26/06/2025;02/07/2025;Ditolak;;
33;33;Darlisma;Jl. Merdeka No. 143 RT 04 RW 06;81258506789;darlisma@mail.com;600.1/243/DPMPTSP/2025;Permohonan Izin Mendirikan Bangunan (IMB);admin;07/05/2025;09/05/2025;18/06/2026;Selesai;;
34;34;Syahrial;Jl. Merdeka No. 95 RT 02 RW 01;81250844462;syahrial@mail.com;600.1/239/DPMPTSP/2025;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;16/05/2025;18/05/2025;20/05/2025;Selesai;;
35;35;Hamdani Mustafa;Jl. Merdeka No. 127 RT 10 RW 12;81271451302;hamdanimustafa@mail.com;600.1/265/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;09/11/2025;12/11/2025;;Diproses;;
36;36;Ajis Putra Nedi an Erlis;Jl. Merdeka No. 43 RT 11 RW 01;81276722310;ajisputranedier@mail.com;600.1/277/DPMPTSP/2025;Permohonan Izin Mendirikan Bangunan (IMB);admin;14/12/2025;15/12/2025;19/12/2025;Selesai;;
37;37;Arnilas;Jl. Merdeka No. 68 RT 02 RW 02;81270691971;arnilas@mail.com;600.1/278/DPMPTSP/2025;Pengajuan Surat Izin;admin;02/02/2025;04/02/2025;09/02/2025;Selesai;;
38;38;Fajri Rahmawati an Annisa Tiara;Jl. Merdeka No. 67 RT 11 RW 01;81238582583;fajrirahmawatia@mail.com;600.1/288/DPMPTSP/2025;Permohonan Izin Operasional Klinik;admin;12/09/2025;13/09/2025;19/09/2025;Selesai;;
39;39;Joko Siswoyo;Jl. Merdeka No. 92 RT 10 RW 07;81244511026;jokosiswoyo@mail.com;600.1/299/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;20/10/2025;21/10/2025;;Diproses;;
40;40;Gusyandri;Jl. Merdeka No. 47 RT 03 RW 04;81260547350;gusyandri@mail.com;600.1/302/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;17/04/2025;19/04/2025;;Diproses;;
41;41;Ermita;Jl. Merdeka No. 27 RT 05 RW 04;81223756035;ermita@mail.com;600.1/301/DPMPTSP/2025;Pengajuan Surat Izin;admin;20/09/2025;22/09/2025;;Diproses;;
42;42;Ekaneti Pitri;Jl. Merdeka No. 90 RT 03 RW 09;81264293336;ekanetipitri@mail.com;600.1/310/DPMPTSP/2025;Permohonan Izin Mendirikan Bangunan (IMB);admin;23/10/2025;26/10/2025;18/06/2026;Selesai;;
43;43;Efrida Yanti an Amelia Kartika Ningsih 2;Jl. Merdeka No. 18 RT 10 RW 04;81288259248;efridayantiamel@mail.com;600.1/316/DPMPTSP/2025;Pengajuan Surat Izin;admin;14/01/2025;16/01/2025;22/01/2025;Selesai;;
44;44;Sukadi an Suyadi;Jl. Merdeka No. 75 RT 09 RW 08;81267552120;sukadisuyadi@mail.com;600.1/330/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;19/06/2025;20/06/2025;27/06/2025;Selesai;;
45;45;Ramadhan Fitria;Jl. Merdeka No. 20 RT 03 RW 03;81259573719;ramadhfitria@mail.com;600.1/332/DPMPTSP/2025;Permohonan Izin Mendirikan Bangunan (IMB);admin;19/01/2025;22/01/2025;26/01/2025;Selesai;;
46;46;Rusdi Alas Lesmana an Sari Ayo;Jl. Merdeka No. 32 RT 06 RW 09;81217014732;rusdialaslesman@mail.com;600.1/331/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;20/11/2025;21/11/2025;28/11/2025;Selesai;;
47;47;Sukadi an Maryoto;Jl. Merdeka No. 144 RT 12 RW 04;81287116602;sukadimaryoto@mail.com;600.1/329/DPMPTSP/2025;Permohonan Izin Operasional Klinik;admin;05/12/2025;08/12/2025;13/12/2025;Selesai;;
48;48;Hendriko Putra;Jl. Merdeka No. 91 RT 08 RW 04;81264806224;hendrikoputra@mail.com;600.1/335/DPMPTSP/2025;Permohonan Izin Mendirikan Bangunan (IMB);admin;13/06/2025;14/06/2025;16/06/2025;Ditolak;;
49;49;Minarsih;Jl. Merdeka No. 123 RT 10 RW 10;81266487020;minarsih@mail.com;600.1/344/DPMPTSP/2025;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;05/03/2025;06/03/2025;10/03/2025;Selesai;;
50;50;William Harbensyah;Jl. Merdeka No. 79 RT 01 RW 12;81264318349;williamharbensy@mail.com;600.1/346/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;17/03/2025;18/03/2025;;Diproses;;
51;51;Rasyid El Ridha;Jl. Merdeka No. 128 RT 03 RW 08;81266755467;rasyidelridha@mail.com;600.1/345/DPMPTSP/2025;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;30/10/2025;31/10/2025;03/11/2025;Selesai;;
52;52;Wirma Hanita;Jl. Merdeka No. 128 RT 09 RW 05;81228024665;wirmahanita@mail.com;600.3.3.2/364/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;07/12/2025;10/12/2025;;Diproses;;
53;53;PT. Pincuran Rawang Permai;Jl. Merdeka No. 77 RT 12 RW 01;81240895889;pincurrawangper@mail.com;600.1/358/DPMPTSP/2025;Permohonan Izin Mendirikan Bangunan (IMB);admin;15/04/2025;17/04/2025;21/04/2025;Selesai;;
54;54;Yuli Rozana;Jl. Merdeka No. 1 RT 08 RW 10;81280199877;yulirozana@mail.com;600.3.3.2/367/DPMPTSP/2025;Permohonan Izin Mendirikan Bangunan (IMB);admin;15/06/2025;16/06/2025;22/06/2025;Ditolak;;
55;55;Sri Yulanda 1;Jl. Merdeka No. 86 RT 08 RW 01;81235969444;sriyulanda1@mail.com;600.3.3.2/369/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;05/11/2025;07/11/2025;10/11/2025;Selesai;;
56;56;Sri Yulanda 2;Jl. Merdeka No. 53 RT 06 RW 06;81219268039;sriyulanda2@mail.com;600.3.3.2/371/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;19/10/2025;21/10/2025;27/10/2025;Selesai;;
57;57;Fajri Rahmawati an Parmi;Jl. Merdeka No. 57 RT 01 RW 03;81217463352;fajrirahmawatip@mail.com;600.3.3.2/375/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;10/08/2025;12/08/2025;;Diproses;;
58;58;Irvandi Saputra;Jl. Merdeka No. 138 RT 01 RW 07;81214740883;irvandisaputra@mail.com;600.3.3.2/376/DPMPTSP/2025;Permohonan Izin Mendirikan Bangunan (IMB);admin;24/05/2025;27/05/2025;;Diproses;;
59;59;Mohammad Husein 1;Jl. Merdeka No. 81 RT 10 RW 08;81226693972;mohammadhusein1@mail.com;600.3.3.2/394/DPMPTSP/2025;Izin Gangguan Tempat Usaha;admin;12/11/2025;14/11/2025;16/11/2025;Selesai;;
60;60;Sasmi Agamil;Jl. Merdeka No. 11 RT 03 RW 04;81231910841;sasmiagamil@mail.com;600.3.3.2/14/DPMPTSP/2026;Pengajuan Surat Izin;admin;03/09/2025;05/09/2025;07/09/2025;Ditolak;;
61;61;Ricci Vivi Eka Sanova;Jl. Merdeka No. 86 RT 04 RW 09;81244824149;ricciviviekasan@mail.com;600.3.3.2/15/DPMPTSP/2026;Permohonan Izin Mendirikan Bangunan (IMB);admin;04/08/2025;07/08/2025;;Diproses;;
62;62;Nuklis;Jl. Merdeka No. 36 RT 01 RW 07;81247519445;nuklis@mail.com;600.3.3.2/19/DPMPTSP/2026;Permohonan Izin Mendirikan Bangunan (IMB);admin;20/11/2025;22/11/2025;;Diproses;;
63;63;Iswandi;Jl. Merdeka No. 95 RT 01 RW 09;81238341849;iswandi@mail.com;600.1/21/DPMPTSP/2026;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;11/03/2025;12/03/2025;;Diproses;;
64;64;Hidawatil Isfanji;Jl. Merdeka No. 57 RT 10 RW 02;81296183116;hidawatilisfanj@mail.com;600.3.3.2/23/DPMPTSP/2026;Izin Gangguan Tempat Usaha;admin;07/08/2025;09/08/2025;12/08/2025;Ditolak;;
65;65;Ernita;Jl. Merdeka No. 3 RT 01 RW 06;81216126477;ernita@mail.com;600.3.3.2/25/DPMPTSP/2026;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;27/12/2025;29/12/2025;;Diproses;;
66;66;Sukarsi;Jl. Merdeka No. 145 RT 06 RW 03;81280597826;sukarsi@mail.com;600.3.3.2/26/DPMPTSP/2026;Izin Gangguan Tempat Usaha;admin;06/07/2025;09/07/2025;12/07/2025;Selesai;;
67;67;Zulhaimi;Jl. Merdeka No. 30 RT 08 RW 04;81241961165;zulhaimi@mail.com;600.3.3.2/24/DPMPTSP/2026;Permohonan Izin Mendirikan Bangunan (IMB);admin;17/09/2025;19/09/2025;;Diproses;;
68;68;Kanti Prihartini;Jl. Merdeka No. 72 RT 05 RW 01;81213676318;kantiprihartini@mail.com;600.3.3.2/27/DPMPTSP/2026;Izin Gangguan Tempat Usaha;admin;26/06/2025;28/06/2025;;Diproses;;
69;69;Yasni. S;Jl. Merdeka No. 39 RT 10 RW 01;81250945298;yasnis@mail.com;600.3.3.2/33/DPMPTSP/2026;Izin Gangguan Tempat Usaha;admin;26/02/2025;27/02/2025;;Diproses;;
70;70;Enifa Maidesrita;Jl. Merdeka No. 131 RT 02 RW 08;81241568759;enifamaidesrita@mail.com;600.1/42/DPMPTSP/2026;Permohonan Izin Operasional Klinik;admin;29/04/2025;02/05/2025;05/05/2025;Selesai;;
71;71;Iti Sumarni;Jl. Merdeka No. 122 RT 09 RW 04;81240897783;itisumarni@mail.com;600.1/43/DPMPTSP/2026;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;19/06/2025;21/06/2025;;Diproses;;
72;72;Ajis Putra Nedi an Simarni;Jl. Merdeka No. 46 RT 05 RW 07;81245876878;ajisputranedisi@mail.com;600.3.3.2/44/DPMPTSP/2026;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;02/05/2025;04/05/2025;08/05/2025;Selesai;;
73;73;Dian Filzah Aytis an Atmiati;Jl. Merdeka No. 42 RT 09 RW 11;81252623130;difilzahaytisat@mail.com;600.3.3.2/52/DPMPTSP/2026;Permohonan Izin Operasional Klinik;admin;28/11/2025;01/12/2025;;Diproses;;
74;74;Sukadi an Sarimin, Sami, Sagiman;Jl. Merdeka No. 27 RT 03 RW 05;81299398978;sukadisariminsa@mail.com;600.3.3.2/57/DPMPTSP/2026;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;04/06/2025;07/06/2025;14/06/2025;Selesai;;
75;75;Ajis Putra Nedi an Sukar Dinalis;Jl. Merdeka No. 114 RT 03 RW 09;81283902247;ajisputranedisu@mail.com;600.3.3.2/53/DPMPTSP/2026;Permohonan Izin Mendirikan Bangunan (IMB);admin;19/02/2025;21/02/2025;;Diproses;;
76;76;Yong Hendri;Jl. Merdeka No. 40 RT 08 RW 06;81288857585;yonghendri@mail.com;600.3.3.2/63/DPMPTSP/2026;Izin Gangguan Tempat Usaha;admin;10/09/2025;11/09/2025;15/09/2025;Selesai;;
77;77;Yodion Eka Putra;Jl. Merdeka No. 121 RT 02 RW 03;81247052306;yodionekaputra@mail.com;600.3.3.2/69/DPMPTSP/2026;Permohonan Izin Operasional Klinik;admin;07/12/2025;08/12/2025;11/12/2025;Selesai;;
78;78;Mohammad Husein 2;Jl. Merdeka No. 65 RT 12 RW 06;81210761696;mohammadhusein2@mail.com;600.1/73/DPMPTSP/2026;Permohonan Izin Mendirikan Bangunan (IMB);admin;03/10/2025;05/10/2025;12/10/2025;Selesai;;
79;79;Rizatil Hayati;Jl. Merdeka No. 108 RT 06 RW 04;81227253225;rizatilhayati@mail.com;600.3.3.2/88/DPMPTSP/2026;Permohonan Izin Mendirikan Bangunan (IMB);admin;28/01/2025;30/01/2025;06/02/2025;Selesai;;
80;80;Nurhayati;Jl. Merdeka No. 60 RT 02 RW 09;81252789685;nurhayati@mail.com;600.3.3.2/66/DPMPTSP/2026;Permohonan Izin Mendirikan Bangunan (IMB);admin;05/02/2025;06/02/2025;;Diproses;;
81;81;Sukadi an Slamet Riyadi;Jl. Merdeka No. 37 RT 06 RW 11;81265495580;sukadislametriy@mail.com;600.1/119/DPMPTSP/2026;Permohonan Izin Mendirikan Bangunan (IMB);admin;27/03/2025;28/03/2025;02/04/2025;Ditolak;;
82;82;Yuliarni;Jl. Merdeka No. 76 RT 02 RW 02;81248887504;yuliarni@mail.com;600.1/120/DPMPTSP/2026;Pengajuan Surat Izin;admin;27/02/2025;28/02/2025;;Diproses;;
83;83;Umar Dt. Rajo Indo;Jl. Merdeka No. 91 RT 07 RW 02;81252132102;umardtrajoindo@mail.com;600.3.3.2/122/DPMPTSP/2026;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;15/10/2025;18/10/2025;;Diproses;;
84;84;Buyung;Jl. Merdeka No. 95 RT 03 RW 01;81235948790;buyung@mail.com;600.3.3.2/123/DPMPTSP/2026;Izin Gangguan Tempat Usaha;admin;01/04/2025;04/04/2025;;Diproses;;
85;85;Rince Oktasari;Jl. Merdeka No. 60 RT 11 RW 05;81226925658;rinceoktasari@mail.com;600.3.3.2/102/DPMPTSP/2026;Pengajuan Surat Izin;admin;16/07/2025;18/07/2025;;Diproses;;
86;86;Yondra Zubir;Jl. Merdeka No. 124 RT 03 RW 01;81242170749;yondrazubir@mail.com;600.3.3.2/108/DPMPTSP/2026;Permohonan Izin Mendirikan Bangunan (IMB);admin;19/09/2025;20/09/2025;;Diproses;;
87;87;Ajis Putra Nedi an Zakaria Arif;Jl. Merdeka No. 30 RT 10 RW 02;81229383351;ajisputranediza@mail.com;600.3.3.2/109/DPMPTSP/2026;Pendaftaran Tanda Daftar Perusahaan (TDP);admin;25/06/2025;26/06/2025;;Diproses;;
88;88;Baradi;Jl. Merdeka No. 42 RT 04 RW 10;81242113001;baradi@mail.com;600.3.3.2/138/DPMPTSP/2026;Izin Gangguan Tempat Usaha;admin;13/12/2025;14/12/2025;;Diproses;;
89;89;Andika;tes;81369712870;andika@mail.com;600.3.3.10/138/DPMPTSP/2026;tes;admin;21/06/2026;;;Diproses;;
90;90;abdi maulana;test;81249323077;abdimaulana@mail.com;999/006/DPMPTSP/2026;test;abdi maulana;27/06/2026;;;Diproses;;
